comparison,candidate,reference,observed_delta_pr_auc,ci_lower_95,ci_upper_95,excludes_zero,bootstrap_std_delta,n_resamples
b1_card1_vs_b0,b1_card1,b0,0.005900558213771667,0.0019923064590710526,0.009763494275780703,True,0.001987241287356355,10000
b1_card1_card2_vs_b0,b1_card1_card2,b0,0.005511605534224251,0.0016137968950045935,0.0093553770961777,True,0.0019826746938711513,10000
b1_card1_vs_b1_card1_card2,b1_card1,b1_card1_card2,0.0003889526795474163,-0.002545868188674469,0.0033823139335656094,False,0.0015138756667544564,10000
