iteration,validation_auc,validation_average_precision,validation_binary_logloss
1,0.8428740272103219,0.2974889639716456,0.14017316973095942
2,0.8560949517942145,0.33304187398733803,0.13844823373017842
3,0.8631898830742003,0.36705115460592225,0.13876611144474826
4,0.8666383641024088,0.3732671600963554,0.14026099388692578
5,0.8697972324914421,0.3751348457365233,0.14265364456188914
6,0.8717880157844115,0.3802023704169504,0.145191205528683
7,0.8740878518112385,0.38124097814262725,0.14806751361175555
8,0.8749633170774405,0.386633662294706,0.15149743471391552
9,0.8765685035847903,0.38809521215728093,0.15473417158183916
10,0.8776032461949007,0.3903903318929214,0.15791035844739462
11,0.8792064227843859,0.39556160061237194,0.16121089751120848
12,0.8801059013809474,0.39603866279897837,0.16441553669020453
13,0.8804377626473621,0.3992938006260437,0.16807733961411753
14,0.8816683877020728,0.4018980863725966,0.17140543483971843
15,0.8826608259606433,0.40335773918518913,0.17493852664972145
16,0.883599325018084,0.40516980622086646,0.17838863537244073
17,0.8839930979036218,0.4081924972590669,0.18167081247435948
18,0.8846578522967701,0.40903371675622624,0.1848273583540151
19,0.8854429289048855,0.41023787123399363,0.18794499974631237
20,0.8857063933965428,0.41036094093815256,0.19138719080784208
21,0.8862913121611583,0.4115475989950317,0.19467125857681655
22,0.8868175839820353,0.41318219433117737,0.19778863623919468
23,0.8875918923495063,0.4141052762490923,0.20098526103778472
24,0.8879802503702803,0.41431653644161026,0.20400974252513343
25,0.8883068793170528,0.4154008773906869,0.20708027022320713
26,0.8886249728382467,0.4173696995450959,0.20981307194567891
27,0.8889244121695447,0.41886732539996796,0.2129358527441873
28,0.8890186419612943,0.41996485527995736,0.21633808868760693
29,0.8893129834798817,0.42124554521201474,0.2191062447201643
30,0.8893773412036337,0.42242231976056926,0.22173881501301418
31,0.8897457652971332,0.4230626732789337,0.22466156930471773
32,0.8902991537154362,0.42421701712278354,0.22701860558790138
33,0.8906926422148899,0.42620708288356196,0.22949999447502023
34,0.8910730374253086,0.4282297230783748,0.23201982275391278
35,0.8914120909695128,0.42904508964444804,0.23437729928685583
