encoder,epoch,train_loss_mean,validation_pr_auc_monitor
full_train,1,1.226746184192598,0.11796723080819804
full_train,2,1.1877249972894788,0.10686772385617915
full_train,3,1.17927505094558,0.11737397965296686
full_train,4,1.160383046604693,0.122238742196406
full_train,5,1.1322961416095496,0.12627801916445042
full_train,6,1.1223307855427265,0.12848741347295
full_train,7,1.145819190144539,0.12661915688954636
full_train,8,1.1202246306464076,0.11496587909745486
full_train,9,1.104428786598146,0.11584958254504361
full_train,10,1.0980368547141552,0.1257683036417923
fold_0,1,1.2351281013339759,
fold_0,2,1.1768950089812278,
fold_0,3,1.1684619167819619,
fold_0,4,1.1570770693942904,
fold_0,5,1.1431497909128665,
fold_0,6,1.1236817153170704,
fold_1,1,1.2485882602632046,
fold_1,2,1.1758313680067658,
fold_1,3,1.1505761239677668,
fold_1,4,1.1285326030105352,
fold_1,5,1.1099328706040978,
fold_1,6,1.1240566458553076,
fold_2,1,1.2198825044557453,
fold_2,2,1.14847743678838,
fold_2,3,1.1424125984311104,
fold_2,4,1.1538493439555169,
fold_2,5,1.1231180217117072,
fold_2,6,1.11935093998909,
