run,kind,isolates,pr_auc,roc_auc,best_iteration,delta_pr_auc_vs_b0,ci_lower_vs_b0,ci_upper_vs_b0,delta_pr_auc_vs_b1_card1,ci_lower_vs_b1_card1,ci_upper_vs_b1_card1,delta_pr_auc_vs_g1,ci_lower_vs_g1,ci_upper_vs_g1,parity_with_b1_card1
b0,reference,,0.6491385746479026,0.925020356086887,5821,,,,,,,,,,
b1_card1,reference,,0.6550391328616743,0.9280732137984835,5999,,,,,,,,,,
g1,reference,,0.6264202966198482,0.9138577334326102,5965,,,,,,,,,,
extended_budget,control,encoder training budget and monitor size,0.6148507952248832,0.9107839810299417,5999,-0.034287779423019416,-0.04071243269722022,-0.0278339249107177,-0.04018833763679108,-0.046765429518721514,-0.03367782454552435,-0.011569501394965043,-0.016695630075309838,-0.006431896221961988,no
neighbourhood_only,control,self-contribution in the readout,0.6449401068302887,0.9223389181303113,5968,-0.0041984678176139045,-0.00945240161077589,0.000956635710824437,-0.010099026031385572,-0.015446904516806553,-0.004750680171252943,0.01851981021044047,0.012341035105252649,0.024682386853303775,no
cross_fitted,control,label information in train-row embeddings,0.579477810853414,0.9041813931580812,3736,-0.0696607637944886,-0.07670528523495114,-0.06267051669160671,-0.07556132200826027,-0.08279346677537539,-0.06825774542162381,-0.04694248576643423,-0.05404101984048493,-0.039788441402079926,no
shuffled_embedding,control,split-search dilution from 32 extra columns,0.6295707470030312,0.9186791958874327,5979,-0.019567827644871416,-0.02470833406156335,-0.014496297906170312,-0.025468385858643083,-0.030763987891204457,-0.020113325969558584,0.0031504503831829567,-0.0023541215101634677,0.008663437009832043,no
