encoder_seed,complete,pr_auc,delta_vs_b1_card1,ci_lower_95,ci_upper_95,leakage_gate_usable,probe_gap,partition_alignment_mean_gap
42,True,0.628938931281858,-0.03243617352748385,-0.03757142199145772,-0.02737769297820955,True,0.004075773572759234,0.3979635536670685
43,True,0.6355498801396846,-0.0258252246696572,-0.030867029003113024,-0.02074174220067075,True,0.013169482206079386,0.6065844297409058
44,True,0.633242166680593,-0.02813293812874884,-0.033288079640185604,-0.023008963522204825,True,0.012625532756022073,0.4317883849143982
