relation,edges,participating_nodes,participating_nodes_pct,isolated_nodes,isolated_pct,degree_mean,degree_median,degree_p90,degree_p95,degree_p99,degree_max,connected_components,largest_component_size,largest_component_pct,label_agreement,baseline_fraud_rate,previous_fraud_rate_given_current_fraud,previous_fraud_rate_given_current_normal,fraud_neighbor_lift,fraud_fraud_edge_pct
card1,1178188,410079,99.20194108056066,3299,0.7980589194393509,5.7002936779412545,6.0,6.0,6.0,6.0,12,12242,10147,2.454654093831796,0.9500792742754127,0.03516878014795175,0.2984943687018376,0.02573033935351092,8.4874814379714,1.0685051961147118
card1_card2,1158847,403567,97.62662744509868,9811,2.373372554901325,5.606718306247551,6.0,6.0,6.0,6.0,10,18718,10133,2.451267363043026,0.9504179585398245,0.03516878014795175,0.29538364044067467,0.02553991299128034,8.399030026006686,1.045780849413253
card_core,1153175,401831,97.20667282729124,11547,2.7933271727087554,5.579276110484835,6.0,6.0,6.0,6.0,10,20536,9651,2.3346670601725297,0.9506146074966939,0.03516878014795175,0.29538749016522425,0.025430942658132158,8.399139490268269,1.041819324907321
card_full,1153060,401819,97.20376991518658,11559,2.7962300848134154,5.578719718998109,6.0,6.0,6.0,6.0,10,20562,9651,2.3346670601725297,0.9506244254418678,0.03516878014795175,0.2954383376367884,0.025424422080286228,8.400585303041705,1.0419232303609525
card_core_addr1,921279,344589,83.35929826938056,68789,16.640701730619433,4.457319934781242,6.0,6.0,6.0,6.0,10,88361,4080,0.9869901155842835,0.9694446524885513,0.03516878014795175,0.3788174139051332,0.015375297541511077,10.771411812166471,0.9492238507553087
device_info,266205,90963,22.00479948134637,322415,77.99520051865363,1.2879495280348736,0.0,6.0,6.0,6.0,8,323562,36668,8.870331754471694,0.9257714918953438,0.03516878014795175,0.44921442797079,0.03951170560474592,12.773102339091293,3.050280798632633
device_fingerprint,151453,54564,13.199541339887464,358814,86.80045866011254,0.7327579116450319,0.0,6.0,6.0,6.0,7,360945,2556,0.618320278292507,0.9555637722593808,0.03516878014795175,0.4646186764481125,0.02226899454834035,13.211111516905204,2.0072233630235123
email_domain,1046892,349082,84.44619694323356,64296,15.553803056766446,5.065059098452264,6.0,6.0,6.0,6.0,13,64355,159214,38.51535398594023,0.9400912415034216,0.03516878014795175,0.17080843864008882,0.03107130752596956,4.856820109242168,0.6171601273101714
addr1,1096066,365742,88.47640658186938,47636,11.523593418130622,5.302972098176487,6.0,6.0,6.0,6.0,13,47836,32938,7.968009908606651,0.9575071209215503,0.03516878014795175,0.15403041411098609,0.02177418524622536,4.379748557186079,0.387202960405669
