ablation_mode,feature,reference,equal_budget_trees,delta_pr_auc,ci_lower_95,ci_upper_95,excludes_zero,delta_roc_auc
singleton,prior_count,b0_ref,6011,0.00696516986613982,0.0034040775686457136,0.010492010710760287,True,0.0005298573913699034
singleton,prior_count_24h,b0_ref,6011,0.004337226506974212,0.0012134348883137192,0.007449643861703283,True,0.0031627498747759386
singleton,prior_count_7d,b0_ref,6011,0.0008842536296166381,-0.0024162990527043346,0.004189961503956387,False,0.0004747595091001422
singleton,time_since_previous_hours,b0_ref,6011,-0.0019632834276666067,-0.005102058017565211,0.0012693494551301269,False,2.537569342442314e-05
loo,prior_count,b1_ref,6011,-0.004288108755443054,-0.007504412826714618,-0.001043615654476593,True,-0.0017266001499914863
loo,prior_count_24h,b1_ref,6011,0.0007969883886522755,-0.002264554152481221,0.0038348104516943426,False,-0.0028557243525314524
loo,prior_count_7d,b1_ref,6011,-0.0038047101021083662,-0.006936073980828253,-0.0007217672255786486,True,-0.003487818541141108
loo,time_since_previous_hours,b1_ref,6011,-0.0038486023518670143,-0.007055607993581903,-0.0006762649257363088,True,-0.002175622718478931
