permutation_seed,pr_auc,roc_auc,best_iteration,estimator_cap_reached,delta_pr_auc_vs_b0,delta_pr_auc_vs_b0_ci_lower_95,delta_pr_auc_vs_b0_ci_upper_95,delta_pr_auc_vs_b0_excludes_zero,delta_pr_auc_vs_b1_card1,delta_pr_auc_vs_b1_card1_ci_lower_95,delta_pr_auc_vs_b1_card1_ci_upper_95,delta_pr_auc_vs_b1_card1_excludes_zero,recovered_fraction_of_real_gain
1,0.6492298273037419,0.9235346386362522,9390,False,3.611865141994741e-05,-0.0035968659456810325,0.0035961428804315546,False,-0.0062679364061899445,-0.010402303388335667,-0.0020955084494553135,True,0.00572943146750393
2,0.6432257980510504,0.9236801098043878,5617,False,-0.005967910601271553,-0.009591827750166254,-0.0023948514177576526,True,-0.012271965658881445,-0.016461703043295355,-0.008201255937574776,True,-0.9466780582868539
3,0.6457649646571112,0.9226498366674643,8644,False,-0.003428743995210759,-0.007100946401392067,0.0001602959203484901,False,-0.009732799052820651,-0.013800131016299826,-0.005719807404722038,True,-0.54389499518596
