iteration,validation_average_precision,validation_auc,validation_binary_logloss
1,0.27068266206511477,0.8358114755918457,0.14025174862320863
2,0.33738715920483925,0.8518634156049208,0.13826781005542327
3,0.3674424874444061,0.8617254369340462,0.13853265658605624
4,0.37678757766686777,0.8653767986103574,0.14034833289835086
5,0.3934351345166417,0.8686891567021818,0.14258341832391647
6,0.39457567433324214,0.8710568437899291,0.14523215762532396
7,0.4036883766029669,0.873173946385491,0.14817330499942213
8,0.40693143791616637,0.875387736406597,0.1509222742548088
9,0.4126232766698001,0.8767700257128831,0.15418298368352407
10,0.4168837539796424,0.8781995922841259,0.1572231810026331
11,0.41825587109458906,0.8794439485750332,0.16058144735554242
12,0.41943323523523945,0.8800646923001368,0.16364872434712413
13,0.4212419492803913,0.8809003415930351,0.1668483480725265
14,0.4219861975060192,0.8813693115394903,0.17023933862209648
15,0.4243871383246658,0.8823247065890772,0.17376435738000845
16,0.4258043943392164,0.8836568440251241,0.1778263452335856
17,0.42666008987838644,0.8847181094806335,0.1812989745463001
18,0.43019079154408574,0.8849542267915533,0.18462093498898202
19,0.43096061880406245,0.8859612052494381,0.18800803977655853
20,0.4310146492906625,0.886707092302246,0.1913007753447411
21,0.4305967716725146,0.8874021876161251,0.1945098606369923
22,0.43124666618598934,0.8877445634815417,0.19782504481681126
23,0.4329686504884934,0.8884122174598313,0.20075597689433763
24,0.4331006526924383,0.8888735147465983,0.20396587059705854
25,0.4333078572402506,0.8890324980967845,0.20713011840040713
26,0.4341631629540578,0.8889679366911075,0.2098288160197295
27,0.4343911306601257,0.8892741474856516,0.21286224662499018
28,0.4355533386560092,0.8897913324025299,0.2158861733879227
29,0.43793890256444395,0.8903118492482588,0.2185984478404696
30,0.43919416867990746,0.8906782057780658,0.22131275641572917
31,0.4401170801653688,0.8910770476534001,0.22401433240330793
32,0.43974120305397957,0.8914194292833996,0.2264788793844026
33,0.4409370376594371,0.8919677275751023,0.2290177909199762
34,0.44098353078051966,0.8921448539888441,0.2315464112748616
35,0.44345668759120943,0.8925502828607755,0.23384151323697117
36,0.44385801357281435,0.8925742078008655,0.23680912493529716
37,0.4449046932940359,0.892851063418335,0.23932216841582007
38,0.4456868531340879,0.8932642629478621,0.24126294157191167
39,0.4466998110967479,0.893400372433553,0.24356142434253475
40,0.44742212242174756,0.8937162888639812,0.24577115121782023
41,0.44815621157902824,0.8939151554409372,0.24819883859656341
42,0.448873340570147,0.8943252939770048,0.25036248862111066
43,0.44873934322600284,0.8945570532633383,0.25265278003102154
44,0.449292599304676,0.8950998617507012,0.2545911353635888
45,0.4498001993340271,0.8952761138693871,0.2568166038683514
46,0.450416374276312,0.8956378049301925,0.25877307393836063
47,0.45147607708712795,0.895769072166343,0.2608167012159644
48,0.45118268180757576,0.8959403263917534,0.26275212838981904
49,0.4519508595204973,0.8962873427463128,0.2646428151143705
50,0.45293183055607633,0.8966132088466301,0.2661524847356912
51,0.45381185590450956,0.8967007882313721,0.267785812903873
52,0.4547013040974972,0.8969856162668348,0.26936791822995076
53,0.45568546611411787,0.8971424590352799,0.27079577832921575
54,0.4517269495978913,0.8972356627312936,0.2724371812254371
55,0.4530983017724685,0.897548620009225,0.27368696237279205
56,0.4537350561856732,0.8977078358642503,0.27536453173190095
57,0.45394510988998193,0.8980218980205491,0.27667323784915754
58,0.4546286356174663,0.8982354700481925,0.277807974027159
59,0.45552847210724157,0.8984831203677398,0.2791739813550183
60,0.4563295176339359,0.8987610155316383,0.2804899774678071
61,0.4566022922912212,0.8989199124130829,0.28203018520319206
62,0.45712437449887616,0.8991008242361876,0.28359034654072873
63,0.45709729772891033,0.8991742035319998,0.28469644774426633
64,0.45748153294835625,0.8993843244960819,0.2854940796620561
65,0.4577896665599845,0.8997239660277303,0.28632462868592046
66,0.45840598765482726,0.9001685248876139,0.28704548187424733
67,0.458649039927497,0.9002933895938167,0.2876825719343699
68,0.4594354338115058,0.9005647803868049,0.2887365071192398
69,0.45993036000828275,0.9007148151829795,0.2898502479997485
70,0.4602911775354985,0.9007623191881924,0.2910003253725668
71,0.4608439377421877,0.9010608669306861,0.2919094586191156
72,0.46178441605945736,0.9012720005398109,0.2927356989919257
73,0.4626511001064128,0.9014107194599763,0.2939556596026343
74,0.463291784792755,0.9014975532920114,0.2947224373761408
75,0.46432703672345976,0.901691254802791,0.295245018706782
76,0.46438253918504807,0.9017853693028849,0.29604208856333175
77,0.46522199679157245,0.9019007647210977,0.2967106984856895
78,0.46648814347925543,0.9021654762841644,0.297414386608533
79,0.4670208035184127,0.9022832524750678,0.2979644724508559
80,0.4674983184304605,0.9024638914412539,0.2983989932594312
81,0.46747945968744403,0.9025408736013075,0.29876293265663295
82,0.4677243861997741,0.9027310933040843,0.29914069146845773
83,0.4680632305185106,0.9029615325009599,0.2994678529524419
84,0.4691362020504472,0.9031877770030947,0.29981658308428905
85,0.4693496893267163,0.9033574229099077,0.3002868673427962
86,0.46967120800488993,0.9035722842825675,0.30083490211183683
87,0.47037659443978735,0.9038350147506834,0.3011237319134016
88,0.47093758988021633,0.9040246061139365,0.30178859180967404
89,0.47189698640331174,0.904084573147133,0.30212034664690596
90,0.47235483732527556,0.9042051297884669,0.3021564925094332
91,0.47335771042838304,0.9042385605255713,0.3024033519463722
92,0.47346818330566603,0.904405168497256,0.3024978059776633
93,0.4736555843524202,0.9045201603946738,0.3028920328302254
94,0.4736493681291186,0.9045806001236587,0.3038018239889606
95,0.4738161986306239,0.9047233427226089,0.30388339270149983
96,0.4747990296397256,0.9048199994037116,0.3039597404123969
97,0.47584895953467765,0.90506535541931,0.3037975101500387
98,0.4765587585446365,0.9051670119152159,0.30390220831279025
99,0.47654075452291134,0.9052884908897956,0.3039267404071507
100,0.4777815993660734,0.9055269294060506,0.3039844104754676
101,0.47761661012458667,0.9056254941640555,0.3039306274637276
102,0.47780881638982686,0.9056626219202534,0.3043584077937853
103,0.4788027579683001,0.9058009795932309,0.3040869407353211
104,0.4797044931765227,0.9058291299725032,0.30421900949417646
105,0.48039050213940737,0.9059862090888424,0.3041835435106112
106,0.48079693715982813,0.9060653721827168,0.30450667362457823
107,0.48126670381926606,0.9062051075909802,0.30444669147877645
