seed,variant_pr_auc,variant_roc_auc,variant_best_iteration,reference_pr_auc,reference_roc_auc,reference_best_iteration,delta_pr_auc,delta_roc_auc,best_iteration_ratio,early_stopping_clean,longer_trained
42,0.660982131779961,0.9251179735317875,8219,0.6554977637099318,0.9280936050493256,6087,0.005484368070029166,-0.002975631517538102,1.3502546410382783,True,variant
202,0.6578228949589152,0.9247657306221687,8486,0.6564587375569705,0.9265015656337833,7011,0.0013641574019447322,-0.0017358350116145616,1.2103836827841963,True,variant
707,0.6574964844074889,0.9259572083951786,8115,0.6426453686404109,0.9273633899755858,3644,0.014851115767077983,-0.0014061815804071731,2.226948408342481,False,variant
1337,0.6579053593607991,0.9250855842626398,6807,0.6564420532936598,0.9261001316177228,9310,0.0014633060671392917,-0.0010145473550829953,1.3677097105920375,True,reference
2024,0.6549407620938974,0.9242720056357021,7212,0.6497407856971592,0.9267411186360439,4651,0.005199976396738193,-0.002469113000341805,1.550634272199527,True,variant
