ablation_mode,feature,feature_key,relational_features_used,number_of_predictors,pr_auc,roc_auc,best_iteration,estimator_cap_reached,reference,reference_pr_auc,delta_pr_auc_vs_reference,delta_pr_auc_vs_reference_ci_lower_95,delta_pr_auc_vs_reference_ci_upper_95,delta_pr_auc_vs_reference_excludes_zero,delta_exceeds_noise_floor,fraction_of_real_gain
singleton,card1_prior_count,prior_count,card1_prior_count,436,0.6585029342626766,0.9247152136616861,7358,False,b0_converged,0.649193708652322,0.009309225610354632,0.00570532410017543,0.012861870038335162,True,True,1.4767043633473778
singleton,card1_prior_count_24h,prior_count_24h,card1_prior_count_24h,436,0.6540712125338971,0.9277737091352471,6155,False,b0_converged,0.649193708652322,0.0048775038815751515,0.0017595438917142325,0.008009623314384953,True,True,0.7737089598681899
singleton,card1_prior_count_7d,prior_count_7d,card1_prior_count_7d,436,0.6577062330543604,0.9253991775662052,9137,False,b0_converged,0.649193708652322,0.008512524402038424,0.005272494012965023,0.01182968450669223,True,True,1.3503251992957446
singleton,card1_time_since_previous_hours,time_since_previous_hours,card1_time_since_previous_hours,436,0.651616551164047,0.9252209405095132,7889,False,b0_converged,0.649193708652322,0.0024228425117250874,-0.0006657395342573063,0.0055623274584817575,False,True,0.38433079812657595
loo,card1_prior_count,prior_count,card1_prior_count_24h|card1_prior_count_7d|card1_time_since_previous_hours,438,0.6560435797561099,0.9259187355696641,8213,False,b1_card1_converged,0.6554977637099318,0.0005458160461780937,-0.0026809812314933846,0.0037198253700874706,False,True,0.08658173845090644
loo,card1_prior_count_24h,prior_count_24h,card1_prior_count|card1_prior_count_7d|card1_time_since_previous_hours,438,0.660982131779961,0.9251179735317875,8219,False,b1_card1_converged,0.6554977637099318,0.005484368070029166,0.0024334722328885256,0.008506315892855554,True,True,0.8699746464632718
loo,card1_prior_count_7d,prior_count_7d,card1_prior_count|card1_prior_count_24h|card1_time_since_previous_hours,438,0.6545057174488698,0.9240923812360863,7412,False,b1_card1_converged,0.6554977637099318,-0.000992046261062085,-0.004060028320576387,0.0020246944785186384,False,True,-0.1573663700580381
loo,card1_time_since_previous_hours,time_since_previous_hours,card1_prior_count|card1_prior_count_24h|card1_prior_count_7d,438,0.6559159411610237,0.9259208031333568,7703,False,b1_card1_converged,0.6554977637099318,0.0004181774510918501,-0.0028393189382911214,0.003634958795876597,False,False,0.0663346762155972
