iteration,validation_auc,validation_average_precision,validation_binary_logloss
1,0.8403025947870539,0.2998588132839395,0.14029507262188
2,0.8575011602760079,0.35038133214964146,0.1385616549976829
3,0.8629200237387057,0.3720780713492495,0.1388500639935938
4,0.8680247808499699,0.37803860245809295,0.14039729085578168
5,0.8691075059256644,0.38015070667452366,0.14254551053604203
6,0.8714384476412054,0.39030289669581364,0.14517038320466422
7,0.8737480680865479,0.39974734790041067,0.1481792734988849
8,0.8751743277087992,0.40286157917523246,0.15122221815959025
9,0.8769917546251688,0.4078076385171374,0.15435830487325666
10,0.8781794873408955,0.41360481773667856,0.15789497438766908
11,0.8793408297966273,0.4119324727246767,0.16116464410712794
12,0.879906191253377,0.411900344391186,0.16482882456613476
13,0.881113734918612,0.414905978580903,0.16837053260887574
14,0.8825488354893296,0.41853248756310435,0.17161130156953647
15,0.8836078623651903,0.42057123240935684,0.17498412412449005
16,0.8839329829128005,0.42022343987003574,0.17822122002455384
17,0.884715428949638,0.4225965225995494,0.18156418185020548
18,0.8857221633735181,0.42365826245259147,0.18456990481725913
19,0.8861698639310202,0.4250679899362026,0.1881487843229729
20,0.88671568729518,0.4262499265629535,0.19168644797127035
21,0.8875983563683372,0.42772228348704117,0.194782161716008
22,0.8883612047452293,0.4277445300622752,0.19808313311590053
23,0.8890034734224564,0.4281741280891618,0.20092365950690028
24,0.889576006020192,0.4303837589202752,0.2040143499035261
25,0.8899281086582965,0.43155031973592856,0.20719665978573537
26,0.8901615550458588,0.43174781267393647,0.21016478751513107
27,0.8905390948662709,0.4334063004195366,0.21335652376169806
28,0.8907019923681689,0.4334813811500336,0.21610060842957898
29,0.8911106839939572,0.43346134708962947,0.2187002364417684
30,0.891467215753169,0.43426434994922347,0.22158921938419904
31,0.8914951624505162,0.43454511160074044,0.22438824558523346
32,0.8920036524550256,0.4360668156717281,0.226764250813935
33,0.8925121866546696,0.43733302498628235,0.22928405442832592
34,0.893043504407012,0.4384246098904052,0.23183093517380682
35,0.8934293682849672,0.43976529250463836,0.23437545754153882
36,0.8935417910999899,0.44057371016862557,0.23707902108924025
37,0.8935799315012306,0.44104687555665956,0.23919222401683043
38,0.8939189485364105,0.4420687163949885,0.24116899048100876
39,0.8942629461711176,0.443554082338432,0.24321132549267818
40,0.8946645492816065,0.44413018042593794,0.24519394986893234
41,0.8949335131852418,0.4450628007925209,0.24709843088081773
42,0.895122643381872,0.44564215423624254,0.24972645921252565
43,0.8955404891651246,0.4467343084653398,0.25169131521544136
44,0.8957675061213528,0.4470524601920963,0.2537088882971369
45,0.8961802329550914,0.4480219713055614,0.2556756925194378
46,0.8962803887379452,0.44836063722100983,0.25738702509339884
47,0.8967284486211076,0.44895776488989714,0.25899613228655194
48,0.8969906775705211,0.4498034493106703,0.260877196657627
49,0.8970982850373898,0.45005264312107257,0.2624883694729834
50,0.8973703272282328,0.4525048486038663,0.2641957571613196
51,0.8977076264177425,0.4532207640551119,0.2657010806354054
52,0.8980274992734897,0.4537865230807528,0.26730301216607366
53,0.8980884635795081,0.45380043964192074,0.2687502494979509
54,0.8982718099780762,0.4537633521705494,0.27029401325663366
55,0.8983654652330749,0.45460050174807287,0.2718492175214638
56,0.8985035193046923,0.4552656498865818,0.2729262052577661
57,0.8987573165910173,0.4563521391807227,0.2740047779615942
58,0.8991049286191313,0.457236496630086,0.27493980182122785
59,0.8993782255674941,0.4575129464266859,0.27608210607028405
60,0.8995826588098939,0.45826892057708246,0.2772484513144561
61,0.8997639069003278,0.45841632201555765,0.27847984013919314
