epoch,train_loss_mean,validation_pr_auc_monitor
1,1.0837287230417132,0.3412098917502188
2,0.9499810321256519,0.3711816411955902
3,0.8981581666506827,0.38729020165887273
4,0.8538177201524377,0.38116727470559264
5,0.8404537912458181,0.3993091598974368
6,0.8138075289316475,0.39252030957793976
7,0.7987658671103418,0.4071521352354228
8,0.7969935047440231,0.4104506869972767
9,0.7933487424626946,0.41060350830746456
10,0.7684774765744805,0.41850424446873963
