variant,stage,stage_order,relation,role,protocol,validation_pr_auc,validation_roc_auc,delta_pr_auc_vs_b0,delta_roc_auc_vs_b0,best_iteration,early_stopping_triggered,estimator_cap_reached,candidate_selection_used_validation,final_test_evaluated,delta_pr_auc_vs_b0_ci_lower_95,delta_pr_auc_vs_b0_ci_upper_95,delta_pr_auc_vs_b0_excludes_zero,precision_top_0.5_pct,recall_top_0.5_pct,precision_top_1_pct,recall_top_1_pct,precision_top_2_pct,recall_top_2_pct,precision_top_5_pct,recall_top_5_pct,relational_gain_ranks,relational_split_ranks,total_features_in_model
B0,B0,0,none,baseline,frozen_cap6000,0.6491385746479026,0.925020356086887,0.0,0.0,5821,False,True,True,False,,,,0.9593679458239278,0.13971071663379356,0.9469525959367946,0.2758053911900066,0.8194130925507901,0.47731755424063116,0.46410835214446955,0.6758711374095989,None,None,
B1-card_core_addr1,B1,1,card_core_addr1,original,frozen_cap6000,0.6440069846908768,0.9234770312389429,-0.005131589957025784,-0.001543324847944172,5973,False,True,True,False,,,,0.9616252821670429,0.14003944773175542,0.9469525959367946,0.2758053911900066,0.8143340857787811,0.47435897435897434,0.4620767494356659,0.6729125575279421,"[15, 18, 32, 49]","[7, 6, 15, 29]",439.0
B1-card1,B1,1,card1,new,frozen_cap6000,0.6550391328616743,0.9280732137984835,0.005900558213771667,0.0030528577115964683,5999,False,True,True,False,0.0019923064590710526,0.009763494275780703,True,0.9683972911963883,0.14102564102564102,0.9480812641083521,0.27613412228796846,0.8160270880361173,0.47534516765285995,0.46975169300225733,0.6840894148586456,"[14, 16, 19, 31]","[6, 8, 7, 11]",439.0
B1-card1_card2,B1,1,card1_card2,new,frozen_cap6000,0.6546501801821268,0.9270250358674262,0.005511605534224251,0.002004679780539198,6000,False,True,True,False,0.0016137968950045935,0.0093553770961777,True,0.9661399548532731,0.14069690992767916,0.9503386004514672,0.2767915844838922,0.8216704288939052,0.47863247863247865,0.46636568848758464,0.6791584483892176,"[15, 16, 18, 31]","[7, 8, 6, 11]",439.0
G1-card1,G1,2,card1,new,frozen_cap6000,0.6264202966198482,0.9138577334326102,-0.022718278028054373,-0.01116262265427681,5965,False,True,True,False,-0.02824684799702685,-0.017066211576957004,True,0.9706546275395034,0.14135437212360288,0.95372460496614,0.2777777777777778,0.791196388261851,0.4608809993425378,0.4521444695259594,0.65844838921762,None,None,467.0
B0,B0,0,none,baseline,converged_cap15000,0.649193708652322,0.9246941076025785,0.0,0.0,6011,True,False,True,False,,,,0.9593679458239278,0.13971071663379356,0.9480812641083521,0.27613412228796846,0.8199774266365688,0.47764628533859305,0.46455981941309255,0.6765285996055227,None,None,
B1-card1,B1,1,card1,new,converged_cap15000,0.6554977637099318,0.9280936050493256,0.006304055057609892,0.0033994974467470573,6087,True,False,True,False,0.002387257418836225,0.010179266133185674,True,0.9683972911963883,0.14102564102564102,0.9492099322799097,0.2764628533859303,0.8177200902934537,0.47633136094674555,0.4708803611738149,0.685733070348455,"[14, 16, 19, 31]","[7, 8, 6, 11]",439.0
G1-card1,G1,2,card1,new,converged_cap15000,0.6282682353995636,0.914080672907281,-0.020925473252758398,-0.010613434695297519,7147,True,False,True,False,-0.026315559252907104,-0.015394685186452753,True,0.9729119638826185,0.14168310322156477,0.95372460496614,0.2777777777777778,0.7990970654627539,0.46548323471400394,0.45440180586907447,0.6617357001972387,None,None,467.0
