encoder,epoch,train_loss_mean,validation_pr_auc_monitor
full_train,1,1.2273240765556692,0.10814458900072794
full_train,2,1.1963744902983309,0.11870453166611779
full_train,3,1.1604374304413796,0.12330667334297082
full_train,4,1.1772797003388404,0.1209316238982994
full_train,5,1.1362779730930925,0.1266358128460143
full_train,6,1.1220623575150968,0.11049894383854583
full_train,7,1.135401163622737,0.12213170220699
full_train,8,1.1147529166191816,0.12457323970866659
full_train,9,1.1363955151289702,0.12271645074793322
fold_0,1,1.2356775727123022,
fold_0,2,1.1758613826707005,
fold_0,3,1.1554096454754472,
fold_0,4,1.1621148109436035,
fold_0,5,1.122135615721345,
fold_1,1,1.2080589888617397,
fold_1,2,1.1952352654188871,
fold_1,3,1.1667361123487354,
fold_1,4,1.1391704397276043,
fold_1,5,1.1416320415213703,
fold_2,1,1.2197300676256417,
fold_2,2,1.1716455165296793,
fold_2,3,1.13267913851887,
fold_2,4,1.110049881413579,
fold_2,5,1.1205500548705458,
