encoder,epoch,train_loss_mean,validation_pr_auc_monitor
full_train,1,1.0837287230417132,0.3412098917502189
full_train,2,0.9499810321256519,0.3711816411955902
full_train,3,0.8981581666506827,0.38729020165887273
full_train,4,0.8538177201524377,0.3811672747055926
full_train,5,0.8404537912458181,0.3993091598974368
full_train,6,0.8138075289316475,0.3925203095779397
full_train,7,0.7987658671103418,0.4071521352354228
full_train,8,0.7969935047440231,0.4104506869972767
full_train,9,0.7933487424626946,0.41060350830746456
full_train,10,0.7684774765744805,0.41850424446873963
fold_0,1,1.0808393640443683,
fold_0,2,0.9440110996365547,
fold_0,3,0.8936961345374584,
fold_0,4,0.8614216517657042,
fold_0,5,0.8299337355419993,
fold_0,6,0.8276113730855286,
fold_0,7,0.823407887108624,
fold_0,8,0.776980300527066,
fold_0,9,0.7865082793869078,
fold_0,10,0.7799895148724317,
fold_1,1,1.1108466414734721,
fold_1,2,0.9758076939731837,
fold_1,3,0.9011794790625572,
fold_1,4,0.8665507281199097,
fold_1,5,0.858162323385477,
fold_1,6,0.8092782472260296,
fold_1,7,0.7892290924675762,
fold_1,8,0.790639977902174,
fold_1,9,0.7718627291731537,
fold_1,10,0.7594247086904943,
fold_2,1,1.098917986638844,
fold_2,2,0.9525726682506501,
fold_2,3,0.9032735456712544,
fold_2,4,0.85520970961079,
fold_2,5,0.8501694822683931,
fold_2,6,0.8144403820857405,
fold_2,7,0.836221226491034,
fold_2,8,0.7907647112384438,
fold_2,9,0.7740031630732119,
fold_2,10,0.7765648878179491,
