variant,n_rows,observed_prevalence,mean_predicted_score,mean_score_over_prevalence,scale_pos_weight_applied,expected_calibration_error,maximum_calibration_error,brier_score,isotonic_expected_calibration_error_optimistic,isotonic_maximum_calibration_error_optimistic,isotonic_brier_score_optimistic,platt_expected_calibration_error_optimistic,platt_maximum_calibration_error_optimistic,platt_brier_score_optimistic
B0,88581,0.03434145019812375,0.022078979502357866,0.6429250766924267,27.434310083918007,0.013538121199733907,0.16978272663054866,0.01883103257566384,2.620738470429553e-18,4.440892098500626e-16,0.018023406213424045,0.005406774036046641,0.3013658243691746,0.019677349490727677
B1-card_core_addr1,88581,0.03434145019812375,0.02214408521726384,0.6448209114498515,27.434310083918007,0.013629360010888441,0.19438591451803722,0.019017586061402036,1.1637282017187183e-18,1.1102230246251565e-16,0.01821037451794904,0.004955589294102797,0.2909743643934669,0.019821608767519486
B1-card1,88581,0.03434145019812375,0.021992711875798883,0.6404130212590864,27.434310083918007,0.01391374723163049,0.1845065128758302,0.018866777601908212,3.8690672683959974e-18,3.3306690738754696e-16,0.017935236875497175,0.004802299964980352,0.28148476516301074,0.019737738680586037
B1-card1_card2,88581,0.03434145019812375,0.021538726927626116,0.6271932840157952,27.434310083918007,0.01389124251331066,0.22380155240807986,0.0187820670812023,1.3479695002137658e-18,1.1102230246251565e-16,0.017858597855901943,0.004699569995249739,0.34931962690815765,0.019592665326273215
G1-card1,88581,0.03434145019812375,0.022985020418438144,0.6693083805672811,27.434310083918007,0.013597670866964538,0.1828137143467562,0.019496814939755656,2.1875520840870306e-18,2.220446049250313e-16,0.018822697773245856,0.004856412519214189,0.24985505418277154,0.02030599154396357
