variant,bin,bin_lower,bin_upper,count,mean_predicted,observed_fraud_rate,gap
B0,0,0.0,0.05,84689,0.0023179190838014565,0.012504575564713245,-0.010186656480911788
B0,1,0.05,0.1,1019,0.07033460422228757,0.1717369970559372,-0.10140239283364963
B0,2,0.1,0.15000000000000002,422,0.12322335921792389,0.22274881516587677,-0.09952545594795288
B0,3,0.15000000000000002,0.2,239,0.17331350767907477,0.34309623430962344,-0.16978272663054866
B0,4,0.2,0.25,164,0.22337426439989486,0.36585365853658536,-0.1424793941366905
B0,5,0.25,0.30000000000000004,147,0.27410498303079106,0.41496598639455784,-0.14086100336376678
B0,6,0.30000000000000004,0.35000000000000003,94,0.3226128005513554,0.46808510638297873,-0.14547230583162335
B0,7,0.35000000000000003,0.4,100,0.37547626672111023,0.53,-0.1545237332788898
B0,8,0.4,0.45,71,0.42470847847779974,0.5352112676056338,-0.11050278912783401
B0,9,0.45,0.5,75,0.4765655730507778,0.5466666666666666,-0.07010109361588884
B0,10,0.5,0.55,68,0.5229669512404876,0.6029411764705882,-0.07997422523010056
B0,11,0.55,0.6000000000000001,77,0.5740240339611559,0.5194805194805194,0.054543514480636435
B0,12,0.6000000000000001,0.65,69,0.6244087606136408,0.6521739130434783,-0.02776515242983746
B0,13,0.65,0.7000000000000001,52,0.6767302229294175,0.6346153846153846,0.042114838314032954
B0,14,0.7000000000000001,0.75,48,0.724819450369616,0.7083333333333334,0.016486117036282666
B0,15,0.75,0.8,65,0.7775502896624179,0.7846153846153846,-0.0070650949529666995
B0,16,0.8,0.8500000000000001,67,0.8277641280299961,0.7910447761194029,0.03671935191059317
B0,17,0.8500000000000001,0.9,98,0.8764826117988805,0.826530612244898,0.04995199955398255
B0,18,0.9,0.9500000000000001,155,0.9281963852482055,0.9032258064516129,0.02497057879659259
B0,19,0.9500000000000001,1.0,862,0.9919862071614194,0.9477958236658933,0.044190383495526064
B1-card_core_addr1,0,0.0,0.05,84670,0.0022763635456203345,0.012708161096019842,-0.010431797550399507
B1-card_core_addr1,1,0.05,0.1,1050,0.06977924659814146,0.17238095238095238,-0.10260170578281093
B1-card_core_addr1,2,0.1,0.15000000000000002,395,0.12318808537241654,0.23291139240506328,-0.10972330703264674
B1-card_core_addr1,3,0.15000000000000002,0.2,251,0.17272488408677755,0.32270916334661354,-0.14998427925983598
B1-card_core_addr1,4,0.2,0.25,162,0.22536717190171585,0.41975308641975306,-0.19438591451803722
