ablation_mode,feature,reference,fixed_budget_trees,pr_auc,reference_pr_auc,delta_pr_auc,ci_lower_95,ci_upper_95,excludes_zero,delta_roc_auc,argmax_iteration_not_used
singleton,prior_count,b0,10000,0.6602495923494346,0.6541729814736047,0.006076610875829891,0.0027268350146296195,0.009308068800351598,True,0.0012245472629264231,9929
singleton,prior_count_24h,b0,10000,0.6586912128997611,0.6541729814736047,0.004518231426156372,0.0016871483917203834,0.0073962409387463195,True,0.003858927008691393,9999
singleton,prior_count_7d,b0,10000,0.6587438385691176,0.6541729814736047,0.004570857095512859,0.0016171239203467025,0.0075615575548651556,True,0.002230094182752773,9929
singleton,time_since_previous_hours,b0,10000,0.6530345445619277,0.6541729814736047,-0.001138436911677032,-0.004035146751509122,0.001871793382908937,False,0.0012415143515936977,9976
loo,prior_count,b1_card1,10000,0.6572680916854566,0.6613751048093418,-0.004107013123885173,-0.006944821490199121,-0.0012782156246887587,True,-0.0012001515485756675,9998
loo,prior_count_24h,b1_card1,10000,0.6627525853193333,0.6613751048093418,0.0013774805099915355,-0.0013155134148992026,0.004101080884482101,False,-0.002082148087074409,9986
loo,prior_count_7d,b1_card1,10000,0.6567388062197238,0.6613751048093418,-0.004636298589618004,-0.007311967486431731,-0.0020076137899063375,True,-0.0030589989137912443,9962
loo,time_since_previous_hours,b1_card1,10000,0.6588071088883305,0.6613751048093418,-0.0025679959210113124,-0.0053956686262586675,0.00031447672614184316,False,-0.00038015501946953023,9993
