iteration,validation_average_precision,validation_auc,validation_binary_logloss
1,0.29498924890979206,0.8422847369704269,0.14030855314496626
2,0.35550444556339666,0.8571175196054805,0.13859636147147095
3,0.38514284022668416,0.8631782520676655,0.13888211677460668
4,0.39315060724015954,0.8652293886208781,0.14071244592665014
5,0.39975390795548676,0.8684277674603275,0.14281100128504906
6,0.4100358858171296,0.871601527688225,0.14538600133079874
7,0.41167666022247057,0.8734114933129418,0.14854426646540544
8,0.41621359934747576,0.8759776453783775,0.1513699336933429
9,0.4151921684543143,0.8774626633929677,0.15467577158442458
10,0.4176387447251991,0.8786653359857486,0.15789586141018014
11,0.4175135617619493,0.8798404212068425,0.16130452362847728
12,0.41834013824205135,0.8803915787316071,0.16482718019262485
13,0.4199020016487342,0.8813599863660699,0.16840548396272184
14,0.4230568535270668,0.8825880365738028,0.171702463098692
15,0.42468219640428106,0.8830960942346032,0.1753689115585855
16,0.42608551780427245,0.8838820489808298,0.1786818331002925
17,0.4263282558422663,0.8844631861791377,0.1821667688931426
18,0.4270238195943678,0.8852822603749981,0.18552351498957936
19,0.42860768073845235,0.8860549796391477,0.18859120223135092
20,0.42886939823630804,0.8866040369342507,0.19174493066188375
21,0.4293378315388678,0.8870459978888253,0.19479267718243684
22,0.4312416788738655,0.8876368695459312,0.1982391271640212
23,0.4317608999492493,0.8880865300615806,0.20154143668553018
24,0.43169099317880627,0.8883341265783553,0.20485769397345885
25,0.43190264233105413,0.8888031580136936,0.20778869126055718
26,0.43254105806082604,0.889171810768977,0.2107120502162086
27,0.43375399819968624,0.8895333212061883,0.2136481748430366
28,0.43360347433670265,0.8898088259897583,0.21634645429089144
29,0.43544793713488333,0.8901042281915783,0.21931521843749166
30,0.43583950791127396,0.8903961428208128,0.2222737919372221
31,0.4381614612575575,0.8905196182625641,0.22490882842627677
32,0.43871327211385686,0.8910211465725955,0.22800699039498218
33,0.4385628300010001,0.8910901909021525,0.2304683211442467
34,0.4391965802203302,0.8912046217135124,0.23358251046931713
35,0.4396756431810794,0.8914103961821737,0.23606287254549888
36,0.44012100011585353,0.891729394742865,0.23840019502227752
37,0.44054154983599264,0.8921999057544517,0.24053236801485045
38,0.4413358962680497,0.8925146404454088,0.24269363220955012
39,0.44216467297271295,0.8926746191468895,0.24484672072046965
40,0.44281165710312353,0.8929581059560907,0.24693284593589868
41,0.4435697783949203,0.8932242529002711,0.24945166787830075
42,0.44432806524952867,0.8937026594687473,0.2514501589218699
43,0.4445207252122518,0.8940238504924248,0.2534630749504939
44,0.44532240415716795,0.8943476836165462,0.2551718966490952
45,0.4459967146117808,0.89449186159661,0.25699457725179603
46,0.44641544477814893,0.8948131429320846,0.25889556314769113
47,0.44690884983679335,0.895096020617038,0.26066246566591106
48,0.44728721926436155,0.8951605551213287,0.2623826551951686
49,0.44710564596872104,0.8953207432693173,0.26418862785393177
50,0.4478280854893086,0.8954916285614294,0.2657359552218101
51,0.4480444491392283,0.8956578349338467,0.2675163998201608
52,0.448281293628709,0.8958898055882157,0.26907196116875753
53,0.4529588819881303,0.896082492532425,0.27033030401177544
54,0.4531554088791544,0.8963589138846578,0.2719087167351741
55,0.45352227075469087,0.896544245221232,0.2734582895223883
56,0.4528209565179342,0.8968153477850809,0.27479865180918284
57,0.45317321287219825,0.8970346132989894,0.2759879843671813
58,0.45399975631785,0.8973709229017873,0.2771386135599776
59,0.4541735666695143,0.897746883226516,0.2782387940518208
60,0.45433453396532325,0.8977802390240441,0.2794053519611299
61,0.45514645700550826,0.8981978945760648,0.28036556324198897
62,0.4560588291139406,0.8984331817870636,0.2815050567788177
63,0.45611733962992096,0.8985347960093623,0.28281702995712454
64,0.45668882740635475,0.8989567154311171,0.28373687182720003
65,0.457220201845452,0.899259749940546,0.2849156674540746
66,0.45739151126855465,0.8993761906697707,0.28589493202217
67,0.4578314641247669,0.8995172538536025,0.287089021081087
68,0.45807020191477194,0.8996600022171354,0.2881722746880431
69,0.45908183376115996,0.8997346958378228,0.28911306152741656
70,0.4594904284027339,0.8999971572920754,0.28956389596695375
71,0.4604388759549937,0.9003757136005854,0.2903480602370645
72,0.4609991015569444,0.9003137520217449,0.29156018317045074
73,0.4625940871095623,0.900702546229283,0.29229819312990785
74,0.4631204951352294,0.9007846415742679,0.2930470509772898
75,0.464068131631184,0.9009467012901344,0.2935441232090941
76,0.46469402368702045,0.9011904547517183,0.2941508535126515
77,0.4649417089657656,0.9013248060396595,0.2951040858932762
78,0.4653750724867999,0.9014374805747971,0.29568529419244677
79,0.4657026494048269,0.9016131696858977,0.29624558029587483
80,0.46658769616422774,0.9017354364867914,0.2968152910535354
81,0.46728129894866227,0.9019875274566117,0.2972050827925637
82,0.46819334765595755,0.9021805718049537,0.29741519300880565
83,0.4685320987368679,0.9022510534371521,0.29778634765275414
84,0.4691240553218603,0.9022851874533564,0.298098896230511
85,0.46928926664607085,0.9024705687496479,0.2985614691864851
86,0.47020328132033856,0.902632520859969,0.29888112556484564
87,0.47077582789275074,0.902797318752659,0.29909065757487013
88,0.4711105827617278,0.9028328362687319,0.29920280809203276
89,0.47158799563338755,0.903074418404133,0.29932936715317154
90,0.4721313968400883,0.9032311650961983,0.2996870934353636
91,0.4725767888342538,0.903436856939173,0.3001002588034832
92,0.4729959750991209,0.903469415302749,0.3004619996075154
93,0.47332138330687185,0.9036396395893683,0.3006190232625445
94,0.47187920607234873,0.9036463687790073,0.3012265312885844
95,0.4717188772422819,0.9037318690708912,0.30147789541138903
96,0.47234250754540924,0.9039655806292617,0.3015529868832223
97,0.472489799373957,0.9040299056870446,0.3022767295583413
98,0.47252987695563303,0.9041504162117162,0.30243441997717907
99,0.47305443453952317,0.9042188456524427,0.30277428386064126
100,0.4733412462761024,0.9043174507625271,0.3027990432318944
101,0.47384216787086153,0.9045169706588655,0.30322794553845966
102,0.4736805581209699,0.904661573296528,0.30312942032350165
103,0.47377704339078697,0.9046996983255478,0.30315088830162196
104,0.47417215662017825,0.9048765365101503,0.30296856085466517
105,0.4748401412489178,0.9048308272117115,0.3034587406828588
106,0.4753407220311762,0.9049495833816886,0.30343153312530513
107,0.47605894070327115,0.905099723861881,0.30369806458175475
108,0.47655101337294836,0.9051501831765355,0.30410766842048537
