relation,train_rows,covered_rows,coverage_pct_train,fraud_rate_covered,fraud_rate_uncovered,coverage_indicator_pr_auc,coverage_indicator_roc_auc
card1,413378,413378,100.0,0.03516878014795175,,,
card1_card2,413378,406858,98.42275108980158,0.034791008165010885,0.05874233128834356,0.03578981949908465,0.5054788145147686
card_core,413378,405173,98.01513384843896,0.03463705626979093,0.06142595978062157,0.03607905793959198,0.507679636298133
card_full,413378,405167,98.01368239238663,0.03463263296369151,0.06162464985994398,0.036089585628366394,0.5077434070084025
card_core_addr1,413378,358270,86.66885997803463,0.024916962067714293,0.10181824780431153,0.06089241221700077,0.6309258272501053
