relation,structural_classification,coverage_pct,largest_entity_share_pct,largest_component_pct,median_group_size,p95_group_size,recurring_entity_pct,median_repeat_gap_hours,fraud_neighbor_lift,best_univariate_relational_feature,best_univariate_pr_auc,best_univariate_pr_auc_lift,best_univariate_roc_auc,best_univariate_direction,best_univariate_pr_auc_covered,best_univariate_pr_auc_lift_covered,best_univariate_roc_auc_covered,coverage_indicator_pr_auc,coverage_indicator_roc_auc,key_missingness_pr_auc_lift,coverage_weighted_signal,overall_feature_signal_strength,candidate_decision
card1,promising,100.0,2.454654093831796,2.454654093831796,4.0,84.0,73.05178892337854,1.5055555555555555,8.4874814379714,card1_time_since_previous_hours,0.04775636535929059,1.3579193011069493,0.42708754712852165,lower_is_fraud,0.04800536220480109,1.3507771445977195,0.42891307122132893,,,,0.35077714459771947,moderate,preferred
card1_card2,promising,98.42275108980158,2.490549528336668,2.451267363043026,4.0,83.0,73.02016724053124,1.5044444444444445,8.399030026006686,card1_card2_time_since_previous_hours,0.04665766175566483,1.3266784221511363,0.43920717678943993,lower_is_fraud,0.04720404177159585,1.342379818819572,0.4332290088234613,0.03578981949908465,0.5054788145147686,1.017658825484428,0.33697963685850085,moderate,preferred
card_core,promising,98.01513384843896,2.381945489951206,2.3346670601725297,4.0,83.5,72.89757521693294,1.5108333333333333,8.399139490268269,card_core_time_since_previous_hours,0.046248743431773154,1.3150511117306043,0.4428931490743985,lower_is_fraud,0.04687521228604736,1.3382668709938528,0.43430952722783306,0.03607905793959198,0.507679636298133,1.0258831209900023,0.33155272636955113,moderate,shortlist
card_full,promising,98.01368239238664,2.381980763487648,2.3346670601725297,4.0,83.0,72.89288316735487,1.5105555555555557,8.400585303041705,card_full_time_since_previous_hours,0.04624891085064186,1.315055872170631,0.4429010702263694,lower_is_fraud,0.04687709096025796,1.3384264691557413,0.4342615990806311,0.036089585628366394,0.5077434070084025,1.026182468557081,0.3317042446100766,moderate,shortlist
card_core_addr1,promising,86.66885997803463,1.1388059284896863,0.9869901155842836,2.0,35.0,58.85784741226355,12.12111111111111,10.771411812166471,card_core_addr1_time_since_previous_hours,0.054702606231855355,1.5554308679950408,0.582066725792596,higher_is_fraud,0.04033976698872353,1.611097327030469,0.42063513329393054,0.06089241221700077,0.6309258272501053,1.7314337307359573,0.5296310866935495,moderate,shortlist
device_info,problematic,22.101321308826304,40.13484818633568,8.870331754471694,4.0,61.5,74.19146183699871,0.0516666666666666,12.773102339091292,,,,,,,,,,,,,unknown,reject
device_fingerprint,problematic,13.576436094809113,4.554363707636934,0.618320278292507,2.0,52.0,57.766332339387375,1.6341666666666668,13.211111516905204,,,,,,,,,,,,,unknown,reject
