encoder,epoch,train_loss_mean,validation_pr_auc_monitor
full_train,1,1.2235970674082637,0.10749497189403849
full_train,2,1.190278116427362,0.11313638198941987
full_train,3,1.1658643294125794,0.11970542079941847
full_train,4,1.1420265125110745,0.1266500020575485
full_train,5,1.130162125825882,0.11386801347854177
full_train,6,1.1294968785718082,0.11482016671005081
full_train,7,1.1169432628899814,0.1249024328487431
full_train,8,1.1057607654482127,0.12016934503058992
fold_0,1,1.226158820092678,
fold_0,2,1.1804039392620325,
fold_0,3,1.1773799233138562,
fold_0,4,1.159974542632699,
fold_1,1,1.2323767656460405,
fold_1,2,1.1798423320055007,
fold_1,3,1.1504904335364698,
fold_1,4,1.1322978235781194,
fold_2,1,1.2430433908477425,
fold_2,2,1.2058349208906294,
fold_2,3,1.1687935501337052,
fold_2,4,1.1409486774355173,
